DATE,OPEN,HIGH,LOW,CLOSE
2005/1/4,1.348,1.3581,1.3381,1.3272
2005/1/5,1.3272,1.3497,1.325,1.3261
2005/1/6,1.3261,1.3304,1.3218,1.3169
2005/1/7,1.3169,1.3283,1.3155,1.3054
2005/1/10,1.3054,1.3251,1.3025,1.3089
2005/1/11,1.3089,1.3118,1.3048,1.3118
2005/1/12,1.3118,1.3174,1.3069,1.3265
2005/1/13,1.3265,1.3293,1.3083,1.3201
2005/1/14,1.3201,1.3268,1.3191,1.3108
2005/1/17,1.3108,1.3221,1.3057,1.3073
2005/1/18,1.3073,1.3128,1.3064,1.3024
2005/1/19,1.3024,1.3076,1.2995,1.2994
2005/1/20,1.2994,1.3119,1.2964,1.2956
2005/1/21,1.2956,1.3024,1.2922,1.306
2005/1/24,1.306,1.3068,1.2933,1.3056
2005/1/25,1.3056,1.3097,1.3029,1.2966
2005/1/26,1.2966,1.3076,1.2944,1.3069
2005/1/27,1.3069,1.3109,1.2967,1.3035
2005/1/28,1.3035,1.3125,1.301,1.304
2005/1/31,1.304,1.308,1.2985,1.3031
2005/2/1,1.3031,1.3059,1.2975,1.3053
2005/2/2,1.3053,1.3066,1.3001,1.3041
2005/2/3,1.3041,1.3094,1.3009,1.297
2005/2/4,1.297,1.3038,1.294,1.2875
2005/2/7,1.2875,1.3043,1.2863,1.2775
2005/2/8,1.2775,1.2875,1.2732,1.2774
2005/2/9,1.2774,1.2798,1.2733,1.2793
2005/2/10,1.2793,1.2815,1.2739,1.288
2005/2/11,1.288,1.2906,1.2739,1.2869
2005/2/14,1.2869,1.2897,1.2846,1.2961
2005/2/15,1.2961,1.299,1.2866,1.3017
2005/2/16,1.3017,1.3055,1.2953,1.304
2005/2/17,1.304,1.3065,1.2959,1.3065
2005/2/18,1.3065,1.309,1.3015,1.307
2005/2/21,1.307,1.3083,1.3013,1.307
2005/2/22,1.307,1.308,1.3031,1.3259
2005/2/23,1.3259,1.3262,1.3055,1.3228
2005/2/24,1.3228,1.3274,1.3185,1.3203
2005/2/25,1.3203,1.327,1.3175,1.3243
2005/2/28,1.3243,1.3245,1.3145,1.3241
2005/3/1,1.3241,1.3279,1.3233,1.3186
2005/3/2,1.3186,1.3232,1.3168,1.3134
2005/3/3,1.3134,1.3188,1.3088,1.311
2005/3/4,1.311,1.3165,1.3097,1.3255
2005/3/7,1.3255,1.3255,1.3085,1.3202
2005/3/8,1.3202,1.3248,1.3178,1.3342
2005/3/9,1.3342,1.3363,1.3206,1.34
2005/3/10,1.34,1.3424,1.3331,1.3426
2005/3/11,1.3426,1.3457,1.3371,1.346
2005/3/14,1.346,1.3482,1.339,1.3367
2005/3/15,1.3367,1.3478,1.3335,1.3318
2005/3/16,1.3318,1.3412,1.3296,1.3413
2005/3/17,1.3413,1.3439,1.3291,1.3371
2005/3/18,1.3371,1.3422,1.3342,1.331
2005/3/21,1.331,1.3387,1.3264,1.3175
2005/3/22,1.3175,1.3321,1.314,1.3087
2005/3/23,1.3087,1.3227,1.3054,1.2976
2005/3/24,1.2976,1.3087,1.296,1.2945
2005/3/25,1.2945,1.3033,1.2937,1.2954
2005/3/28,1.2954,1.297,1.2929,1.2884
2005/3/29,1.2884,1.2965,1.2857,1.2921
2005/3/30,1.2921,1.2957,1.2877,1.2935
2005/3/31,1.2935,1.2985,1.292,1.2961
2005/4/1,1.2961,1.3019,1.2911,1.2906
2005/4/4,1.2906,1.3065,1.287,1.2853
2005/4/5,1.2853,1.292,1.2818,1.2867
2005/4/6,1.2867,1.2875,1.28,1.2875
2005/4/7,1.2875,1.291,1.2839,1.2856
2005/4/8,1.2856,1.2941,1.2848,1.2923
2005/4/11,1.2923,1.2932,1.2808,1.2981
2005/4/12,1.2981,1.3004,1.2908,1.2922
2005/4/13,1.2922,1.3018,1.2863,1.2909
2005/4/14,1.2909,1.2954,1.285,1.2823
2005/4/15,1.2823,1.2917,1.2766,1.2909
2005/4/18,1.2909,1.2942,1.2778,1.3019
2005/4/19,1.3019,1.3045,1.2876,1.3073
2005/4/20,1.3073,1.3078,1.2981,1.3084
2005/4/21,1.3084,1.3102,1.2991,1.3054
2005/4/22,1.3054,1.3125,1.3025,1.3065
2005/4/25,1.3065,1.3093,1.3023,1.2995
2005/4/26,1.2995,1.3078,1.2952,1.299
2005/4/27,1.299,1.3014,1.2943,1.2935
2005/4/28,1.2935,1.2988,1.2905,1.29
2005/4/29,1.29,1.2943,1.2878,1.2865
2005/5/2,1.2865,1.2979,1.285,1.2862
2005/5/3,1.2862,1.2874,1.2836,1.287
2005/5/4,1.287,1.2916,1.283,1.2943
2005/5/5,1.2943,1.2974,1.287,1.2948
2005/5/6,1.2948,1.299,1.2926,1.2825
