DATE,OPEN,HIGH,LOW,CLOSE
2005/1/4,102.69,103.48,102.36,104.51
2005/1/5,104.51,104.81,102.45,104.11
2005/1/6,104.11,105.02,103.77,105.09
2005/1/7,105.09,105.19,103.89,104.94
2005/1/10,104.94,105.15,103.85,104.14
2005/1/11,104.14,104.86,104.09,103.31
2005/1/12,103.31,104.32,103.11,102.35
2005/1/13,102.35,103.55,102.14,102.5
2005/1/14,102.5,102.85,102.24,101.94
2005/1/17,101.94,103.22,101.78,102.08
2005/1/18,102.08,102.2,101.67,102.29
2005/1/19,102.29,103,102.13,102.87
2005/1/20,102.87,102.98,102.02,103.43
2005/1/21,103.43,103.62,102.49,102.75
2005/1/24,102.75,103.92,102.63,102.65
2005/1/25,102.65,103.01,102.55,104.23
2005/1/26,104.23,104.35,102.5,103.01
2005/1/27,103.01,104.11,102.76,103.1
2005/1/28,103.1,103.54,102.92,103.43
2005/1/31,103.43,103.77,102.37,103.64
2005/2/1,103.64,103.8,103.3,103.59
2005/2/2,103.59,104.08,103.5,103.77
2005/2/3,103.77,104.1,103.35,104.51
2005/2/4,104.51,104.75,103.61,104
2005/2/7,104,104.63,103.87,104.78
2005/2/8,104.78,105.06,103.95,105.64
2005/2/9,105.64,105.96,104.79,105.78
2005/2/10,105.78,105.98,105.32,105.78
2005/2/11,105.78,106.86,105.35,105.8
2005/2/14,105.8,105.95,105.48,105.18
2005/2/15,105.18,105.72,104.66,104.43
2005/2/16,104.43,105.38,104.29,105.29
2005/2/17,105.29,105.74,104.42,105.59
2005/2/18,105.59,105.8,105.18,105.65
2005/2/21,105.65,105.88,105.15,105.51
2005/2/22,105.51,105.8,105.41,104.09
2005/2/23,104.09,105.6,103.84,104.81
2005/2/24,104.81,105.12,103.93,105.4
2005/2/25,105.4,105.59,104.62,105.22
2005/2/28,105.22,105.58,105.04,104.5
2005/3/1,104.5,105.33,104.1,104.34
2005/3/2,104.34,104.79,104.16,104.75
2005/3/3,104.75,105.16,104.33,105.26
2005/3/4,105.26,105.38,104.72,104.68
2005/3/7,104.68,105.6,104.34,105.22
2005/3/8,105.22,105.37,104.53,104.73
2005/3/9,104.73,105.18,104.35,103.88
2005/3/10,103.88,104.77,103.65,104.11
2005/3/11,104.11,104.35,103.7,103.85
2005/3/14,103.85,104.3,103.72,104.95
2005/3/15,104.95,105.19,103.7,104.5
2005/3/16,104.5,105.02,104.15,104.18
2005/3/17,104.18,104.7,103.9,104.6
2005/3/18,104.6,104.9,104.06,104.75
2005/3/21,104.75,105.07,104.5,105.09
2005/3/22,105.09,105.5,104.67,105.57
2005/3/23,105.57,105.69,104.85,106.05
2005/3/24,106.05,106.19,105.28,106.58
2005/3/25,106.58,106.58,105.91,106.39
2005/3/28,106.39,106.52,106.28,107.21
2005/3/29,107.21,107.33,106.36,107.56
2005/3/30,107.56,107.6,106.95,107.54
2005/3/31,107.54,107.7,107.11,107.19
2005/4/1,107.19,107.59,106.66,107.57
2005/4/4,107.57,107.79,106.75,108.24
2005/4/5,108.24,108.43,107.57,108.14
2005/4/6,108.14,108.9,108.09,108.6
2005/4/7,108.6,108.79,107.86,108.64
2005/4/8,108.64,108.8,108.09,108.32
2005/4/11,108.32,108.88,108.2,107.72
2005/4/12,107.72,108.53,107.64,107.75
2005/4/13,107.75,108.49,107.51,107.42
2005/4/14,107.42,107.85,107.14,108.15
2005/4/15,108.15,108.42,107.25,107.77
2005/4/18,107.77,108.56,107.47,107.52
2005/4/19,107.52,108.07,107.26,106.76
2005/4/20,106.76,107.63,106.72,106.84
